filename,dim1,dim2,dim3
A_1019.wav,8.806847,7.8649745,-3.6867962
A_239.wav,2.244459,-9.016553,-3.0456424
A_748.wav,8.224354,8.291854,-4.2379107
A_530.wav,0.27919412,13.747222,-0.5143788
A_1385.wav,6.5439515,7.1407275,-1.268021
A_100.wav,6.350834,-1.6831475,-7.348477
A_385.wav,-1.8902831,-10.495517,2.0196745
A_1156.wav,-8.455516,-9.71007,-0.16416316
A_877.wav,9.780004,1.8381903,-2.1159284
A_697.wav,11.868487,-0.5531068,-3.9780738
A_143.wav,-13.724554,-2.207073,1.8897207
A_1180.wav,-5.9328785,-11.381839,-0.28283143
A_1508.wav,-1.5228496,9.487676,5.966581
A_1265.wav,4.613289,-10.79456,-4.3802724
A_421.wav,2.6953697,-0.7935488,-5.2952733
A_678.wav,5.528716,-12.103034,-3.957787
A_1335.wav,1.5457642,11.316577,3.109587
A_1187.wav,1.7848998,-12.663217,0.17616315
A_852.wav,6.3091335,10.063051,-3.6970677
A_821.wav,5.263634,5.225747,3.740101
A_231.wav,-9.59057,-2.1333907,-0.08536537
A_251.wav,-5.8628373,12.487806,4.7566905
A_866.wav,10.321244,2.5802114,-2.496549
A_343.wav,-13.773909,1.3387754,1.3983164
A_1195.wav,1.2579656,10.717805,-0.96258366
A_888.wav,7.2754054,-11.499538,-4.407208
A_1257.wav,6.059173,-11.114786,-5.284844
A_1430.wav,4.535394,5.0069385,3.8318655
A_1418.wav,-0.36765987,11.858107,1.3708534
A_1408.wav,2.69191,13.968239,-1.5863258
A_835.wav,-4.8370996,-1.873483,1.5268412
A_1236.wav,8.864196,7.454294,-1.5010359
A_255.wav,-2.6364996,10.065214,6.4300284
A_1514.wav,2.0213788,-9.36742,-2.495584
A_988.wav,4.994594,8.379989,1.6108379
A_624.wav,13.788092,-1.6900764,-4.4839005
A_341.wav,2.3083928,-7.231871,-1.6438015
A_1200.wav,-7.4065084,-9.271606,2.5437844
A_157.wav,0.5087892,-10.544098,-3.5052805
A_1018.wav,1.1047174,6.313629,3.0915568
A_977.wav,1.7156034,6.9645724,4.2017307
A_1240.wav,8.546563,8.545732,-3.5976274
A_486.wav,2.592632,-6.086003,-4.7220345
A_1128.wav,-12.990114,-6.985296,3.3784268
A_874.wav,7.7642255,9.110514,-3.620993
A_1529.wav,2.839515,-7.6480193,-5.004086
A_639.wav,12.734826,2.9936893,-3.182893
A_1324.wav,-5.280473,6.1287003,10.03347
A_940.wav,3.104229,10.254254,-0.7464676
A_1054.wav,-2.1936567,11.683407,2.347008
A_724.wav,12.112441,2.9612412,-2.8964198
A_1365.wav,-7.8389344,-0.14562236,-0.16394909
A_1235.wav,7.6165037,-6.846487,-6.9742074
A_1502.wav,11.298967,5.9281683,-1.8777076
A_395.wav,-5.03432,-2.9521482,-0.873769
A_522.wav,10.274269,5.400137,0.9818136
A_222.wav,-15.499679,0.17420974,1.4600792
A_1329.wav,-5.376302,-6.5918417,2.677744
A_1076.wav,1.4180678,12.082221,2.372873
A_1267.wav,2.5502772,13.920251,-3.072633
A_1727.wav,-10.044687,-3.0220358,1.1488534
A_1399.wav,7.23537,-10.370099,-4.620703
A_1507.wav,-7.507452,-4.513633,1.9849842
A_1370.wav,-5.3399463,10.508893,7.711262
A_1625.wav,11.905151,7.0684166,-2.6981635
A_1572.wav,10.489402,3.8938923,-0.37842402
A_601.wav,10.318699,-2.8372858,-5.5379887
A_1415.wav,9.697595,3.0601864,-0.24273776
A_611.wav,10.01144,9.18342,-1.574584
A_1366.wav,-2.3718286,13.152919,3.5396242
A_867.wav,1.8136566,9.744124,1.553329
A_214.wav,-10.6313095,0.37996745,1.7345498
A_870.wav,12.606762,4.7075577,-2.2483811
A_261.wav,-8.172998,-6.802779,0.15398511
A_193.wav,2.5995345,-7.480334,-5.546866
A_263.wav,-5.594585,-5.6051426,-2.115948
A_8.wav,-4.55123,-9.701941,3.0583248
A_50.wav,5.846084,0.5637737,-5.186601
A_490.wav,-5.382608,-6.1442633,1.088769
A_129.wav,2.0253215,-1.0498219,-4.61009
A_1088.wav,11.387538,-1.6253866,-3.2187278
A_269.wav,-0.03704266,-9.461415,-0.15024714
A_220.wav,1.8465042,-13.280537,-2.4924707
A_1640.wav,-1.6336689,7.732518,8.338296
A_953.wav,0.5004303,-3.1459804,-2.1573615
A_1297.wav,-4.8543324,14.035443,1.7071248
A_1044.wav,7.776863,9.0978365,-2.8961022
A_1639.wav,7.2723546,-5.0719914,-6.995008
A_1487.wav,10.555979,-3.659299,-5.4240136
A_9.wav,2.7008314,-6.964659,-6.2362022
A_1596.wav,3.3963518,10.807038,2.953469
A_1466.wav,6.5425878,-1.5964264,-6.9536777
A_1124.wav,-9.884867,-8.537269,1.7799542
A_489.wav,-3.3766952,-10.715966,1.7634702
A_1607.wav,-9.829544,-2.484923,0.72176445
A_445.wav,1.4133972,8.442895,4.2660117
A_325.wav,-5.4205155,-6.062537,0.9768761
A_653.wav,1.3052834,6.9253125,4.17572
A_194.wav,-4.313393,-9.734921,3.2207036
A_1746.wav,6.802659,-2.631034,-6.231164
A_501.wav,1.0203682,-12.606124,-0.62056696
A_652.wav,1.5118127,6.4381533,4.510187
A_1034.wav,6.343931,7.0882626,-0.6760114
A_780.wav,-1.288385,14.260364,0.18867874
A_356.wav,-10.445366,-1.239978,1.9555343
A_1344.wav,3.966434,-5.3613367,-5.1726265
A_1688.wav,-7.2867794,-7.236917,0.83835196
A_292.wav,0.80720186,-4.5393972,-1.8366034
A_392.wav,-15.461291,0.24792951,1.3607885
A_377.wav,0.5988704,-1.7161683,-2.6725426
A_429.wav,-9.738597,-8.053833,1.7805387
A_1135.wav,-6.7038045,-9.635237,0.9913878
A_807.wav,-5.225877,10.450477,6.8321605
A_1179.wav,-15.452496,-4.7288322,3.135735
A_1685.wav,-4.587418,11.226007,5.182332
A_1517.wav,-1.4877032,13.932468,-0.6747749
A_648.wav,2.5590878,9.403009,1.3182493
A_893.wav,-2.31581,6.1120777,7.9162207
A_504.wav,2.0889688,-13.678586,-0.38516086
A_904.wav,-5.3649077,12.41762,4.294849
A_114.wav,-8.321345,-6.5994873,-0.03332428
A_680.wav,5.415059,9.08992,-2.3089666
A_432.wav,-2.9589381,-11.013098,1.7869481
A_635.wav,1.1754625,10.453034,-1.3268598
A_584.wav,2.121391,-13.8927555,-0.90626365
A_305.wav,-6.8066797,-11.378337,1.5646862
A_636.wav,10.927505,-2.336122,-5.4361567
A_1406.wav,3.0472372,10.997212,1.9359053
A_947.wav,7.005483,8.70427,-3.3143914
A_286.wav,-11.898532,-5.6178694,0.87160236
A_982.wav,-6.6976633,-13.12147,3.0870585
A_1147.wav,-14.898049,-5.454294,2.7819543
A_1123.wav,-12.792461,-8.180137,3.241176
A_643.wav,-2.4894671,14.662995,-0.617257
A_1379.wav,-1.4839929,11.926154,4.8505573
A_136.wav,6.3337407,-2.7492108,-7.135725
A_328.wav,1.0074915,11.836907,2.2393227
A_94.wav,-4.94974,-10.076734,3.4122236
A_833.wav,-7.0801325,9.710578,7.6056333
A_768.wav,2.1791244,5.539022,3.645943
A_1319.wav,11.062522,6.222081,-2.5028598
A_665.wav,0.08961628,10.956778,-3.045618
A_531.wav,4.7072854,9.717846,0.40060008
A_1033.wav,1.8663505,-12.713357,-0.0014396054
